season,competition,matchday,date,venue,club,opponent,result,playing_position,minute,at_score,type,goal_assist,player_name,extra_time,penality_time,player_goal_number,opponent_score,club_score,year,month,day,day_name,month_name,season_time,match_periods
16//17,LaLiga,23,2017-02-19,H,FC Barcelona,CD Leganes,2:01,RW,4,1:00,Right-footed shot,Luis Suarez,messi,False,False,1,1,2,2017,2,19,Sunday,February,middle,first half
16//17,LaLiga,23,2017-02-19,H,FC Barcelona,CD Leganes,2:01,RW,90,2:01,Penalty,no assist,messi,False,False,2,1,2,2017,2,19,Sunday,February,middle,second time
16//17,LaLiga,24,2017-02-26,A,FC Barcelona,Atletico de Madrid,1:02,RW,86,1:02,Left-footed shot,Ivan Rakitic,messi,False,False,2,1,2,2017,2,26,Sunday,February,middle,second time
16//17,LaLiga,25,2017-03-01,H,FC Barcelona,Sporting GijÃ³n,6:01,RW,9,1:00,Header,Javier Mascherano,messi,False,False,1,1,6,2017,3,1,Wednesday,March,end,first half
16//17,LaLiga,26,2017-03-04,H,FC Barcelona,Celta de Vigo,5:00,AM,24,1:00,Left-footed shot,Sergio Busquets,messi,False,False,1,0,5,2017,3,4,Saturday,March,end,first half
16//17,LaLiga,26,2017-03-04,H,FC Barcelona,Celta de Vigo,5:00,AM,64,5:00,Left-footed shot,Ivan Rakitic,messi,False,False,5,0,5,2017,3,4,Saturday,March,end,second time
16//17,UEFA Champions League,last 16,2017-03-08,H,FC Barcelona,Paris Saint-Germain,6:01,AM,50,3:00,Penalty,no assist,messi,False,False,3,1,6,2017,3,8,Wednesday,March,end,second time
16//17,LaLiga,28,2017-03-19,H,FC Barcelona,Valencia CF,4:02,AM,45,2:01,Penalty,no assist,messi,False,False,2,2,4,2017,3,19,Sunday,March,end,first half
16//17,LaLiga,28,2017-03-19,H,FC Barcelona,Valencia CF,4:02,AM,53,3:02,Right-footed shot,Javier Mascherano,messi,False,False,3,2,4,2017,3,19,Sunday,March,end,second time
16//17,LaLiga,30,2017-04-05,H,FC Barcelona,Sevilla FC,3:00,RW,28,2:00,Right-footed shot,Luis Suarez,messi,False,False,2,0,3,2017,4,5,Wednesday,April,end,first half
16//17,LaLiga,30,2017-04-05,H,FC Barcelona,Sevilla FC,3:00,RW,33,3:00,Left-footed shot,Neymar,messi,False,False,3,0,3,2017,4,5,Wednesday,April,end,first half
16//17,LaLiga,32,2017-04-15,H,FC Barcelona,Real Sociedad,3:02,RW,17,1:00,Left-footed shot,Luis Suarez,messi,False,False,1,2,3,2017,4,15,Saturday,April,end,first half
16//17,LaLiga,32,2017-04-15,H,FC Barcelona,Real Sociedad,3:02,RW,37,2:00,Tap-in,Neymar,messi,False,False,2,2,3,2017,4,15,Saturday,April,end,first half
16//17,LaLiga,33,2017-04-23,A,FC Barcelona,Real Madrid,2:03,RW,33,1:01,Left-footed shot,Ivan Rakitic,messi,False,False,1,2,3,2017,4,23,Sunday,April,end,first half
16//17,LaLiga,33,2017-04-23,A,FC Barcelona,Real Madrid,2:03,RW,90+2,2:03,Left-footed shot,Jordi Alba,messi,False,False,3,2,3,2017,4,23,Sunday,April,end,plus 90
16//17,LaLiga,34,2017-04-26,H,FC Barcelona,CA Osasuna,7:01,AM,12,1:00,Left-footed shot,Luis Suarez,messi,False,False,1,1,7,2017,4,26,Wednesday,April,end,first half
16//17,LaLiga,34,2017-04-26,H,FC Barcelona,CA Osasuna,7:01,AM,61,4:01,Left-footed shot,Ivan Rakitic,messi,False,False,4,1,7,2017,4,26,Wednesday,April,end,second time
16//17,LaLiga,36,2017-05-06,H,FC Barcelona,Villarreal CF,4:01,RW,45,2:01,Left-footed shot,Sergio Busquets,messi,False,False,2,1,4,2017,5,6,Saturday,May,end,first half
16//17,LaLiga,36,2017-05-06,H,FC Barcelona,Villarreal CF,4:01,RW,82,4:01,Penalty,no assist,messi,False,False,4,1,4,2017,5,6,Saturday,May,end,second time
16//17,LaLiga,38,2017-05-21,H,FC Barcelona,SD Eibar,4:02,RW,75,3:02,Penalty,no assist,messi,False,False,3,2,4,2017,5,21,Sunday,May,end,second time
16//17,LaLiga,38,2017-05-21,H,FC Barcelona,SD Eibar,4:02,RW,90+2,4:02,Right-footed shot,Neymar,messi,False,False,4,2,4,2017,5,21,Sunday,May,end,plus 90
16//17,Copa del Rey,final,2017-05-27,H,FC Barcelona,Deportivo Alaves,3:01,RW,30,1:00,Left-footed shot,Neymar,messi,False,False,1,1,3,2017,5,27,Saturday,May,end,first half
17//18,Supercopa,final,2017-08-13,H,FC Barcelona,Real Madrid,1:03,RW,77,1:01,Penalty,no assist,messi,False,False,1,3,1,2017,8,13,Sunday,August,start,second time
17//18,LaLiga,2,2017-08-26,A,FC Barcelona,Deportivo Alaves,0:02,CF,55,0:01,Left-footed shot,Jordi Alba,messi,False,False,1,0,2,2017,8,26,Saturday,August,start,second time
17//18,LaLiga,2,2017-08-26,A,FC Barcelona,Deportivo Alaves,0:02,CF,66,0:02,Left-footed shot,Paco Alcacer,messi,False,False,2,0,2,2017,8,26,Saturday,August,start,second time
17//18,LaLiga,3,2017-09-09,H,FC Barcelona,RCD Espanyol Barcelona,5:00,CF,26,1:00,Left-footed shot,Ivan Rakitic,messi,False,False,1,0,5,2017,9,9,Saturday,September,start,first half
17//18,LaLiga,3,2017-09-09,H,FC Barcelona,RCD Espanyol Barcelona,5:00,CF,35,2:00,Right-footed shot,Jordi Alba,messi,False,False,2,0,5,2017,9,9,Saturday,September,start,first half
17//18,LaLiga,3,2017-09-09,H,FC Barcelona,RCD Espanyol Barcelona,5:00,CF,67,3:00,Left-footed shot,Jordi Alba,messi,False,False,3,0,5,2017,9,9,Saturday,September,start,second time
17//18,UEFA Champions League,group stage,2017-09-12,H,FC Barcelona,Juventus FC,3:00,CF,45,1:00,Left-footed shot,Luis Suarez,messi,False,False,1,0,3,2017,9,12,Tuesday,September,start,first half
17//18,UEFA Champions League,group stage,2017-09-12,H,FC Barcelona,Juventus FC,3:00,CF,69,3:00,Left-footed shot,Jordi Alba,messi,False,False,3,0,3,2017,9,12,Tuesday,September,start,second time
17//18,LaLiga,5,2017-09-19,H,FC Barcelona,SD Eibar,6:01,CF,21,1:00,Penalty,no assist,messi,False,False,1,1,6,2017,9,19,Tuesday,September,start,first half
17//18,LaLiga,5,2017-09-19,H,FC Barcelona,SD Eibar,6:01,CF,59,4:01,Left-footed shot,Sergio Busquets,messi,False,False,4,1,6,2017,9,19,Tuesday,September,start,second time
17//18,LaLiga,5,2017-09-19,H,FC Barcelona,SD Eibar,6:01,CF,62,5:01,Left-footed shot,Paulinho,messi,False,False,5,1,6,2017,9,19,Tuesday,September,start,second time
17//18,LaLiga,5,2017-09-19,H,FC Barcelona,SD Eibar,6:01,CF,87,6:01,Left-footed shot,Aleix Vidal,messi,False,False,6,1,6,2017,9,19,Tuesday,September,start,second time
17//18,LaLiga,7,2017-10-01,H,FC Barcelona,UD Las Palmas,3:00,SS,70,2:00,Left-footed shot,Denis Suarez,messi,False,False,2,0,3,2017,10,1,Sunday,October,start,second time
17//18,LaLiga,7,2017-10-01,H,FC Barcelona,UD Las Palmas,3:00,SS,77,3:00,Left-footed shot,Luis Suarez,messi,False,False,3,0,3,2017,10,1,Sunday,October,start,second time
17//18,UEFA Champions League,group stage,2017-10-18,H,FC Barcelona,Olympiacos Piraeus,3:01,CF,61,2:00,Direct free kick,no assist,messi,False,False,2,1,3,2017,10,18,Wednesday,October,start,second time
17//18,LaLiga,10,2017-10-28,A,FC Barcelona,Athletic Bilbao,0:02,SS,37,0:01,Left-footed shot,Jordi Alba,messi,False,False,1,0,2,2017,10,28,Saturday,October,start,first half
17//18,LaLiga,14,2017-12-02,H,FC Barcelona,Celta de Vigo,2:02,SS,22,1:01,Left-footed shot,Paulinho,messi,False,False,1,2,2,2017,12,2,Saturday,December,middle,first half
17//18,LaLiga,15,2017-12-10,A,FC Barcelona,Villarreal CF,0:02,RW,83,0:02,Left-footed shot,Sergio Busquets,messi,False,False,2,0,2,2017,12,10,Sunday,December,middle,second time
17//18,LaLiga,17,2017-12-23,A,FC Barcelona,Real Madrid,0:03,SS,64,0:02,Penalty,no assist,messi,False,False,2,0,3,2017,12,23,Saturday,December,middle,second time
17//18,LaLiga,18,2018-01-07,H,FC Barcelona,Levante UD,3:00,SS,12,1:00,Left-footed shot,Jordi Alba,messi,False,False,1,0,3,2018,1,7,Sunday,January,middle,first half
17//18,Copa del Rey,last 16,2018-01-11,H,FC Barcelona,Celta de Vigo,5:00,SS,13,1:00,Left-footed shot,Jordi Alba,messi,False,False,1,0,5,2018,1,11,Thursday,January,middle,first half
17//18,Copa del Rey,last 16,2018-01-11,H,FC Barcelona,Celta de Vigo,5:00,SS,15,2:00,Left-footed shot,Jordi Alba,messi,False,False,2,0,5,2018,1,11,Thursday,January,middle,first half
17//18,LaLiga,19,2018-01-14,A,FC Barcelona,Real Sociedad,2:04,SS,85,2:04,Direct free kick,no assist,messi,False,False,4,2,4,2018,1,14,Sunday,January,middle,second time
17//18,LaLiga,20,2018-01-21,A,FC Barcelona,Real Betis Balompie,0:05,SS,64,0:02,Left-footed shot,Sergio Busquets,messi,False,False,2,0,5,2018,1,21,Sunday,January,middle,second time
17//18,LaLiga,20,2018-01-21,A,FC Barcelona,Real Betis Balompie,0:05,SS,80,0:04,Left-footed shot,Luis Suarez,messi,False,False,4,0,5,2018,1,21,Sunday,January,middle,second time
17//18,Copa del Rey,quarter-finals,2018-01-25,H,FC Barcelona,RCD Espanyol Barcelona,2:00,SS,25,2:00,Deflected shot on goal,no assist,messi,False,False,2,0,2,2018,1,25,Thursday,January,middle,first half
17//18,LaLiga,21,2018-01-28,H,FC Barcelona,Deportivo Alaves,2:01,SS,84,2:01,Direct free kick,no assist,messi,False,False,2,1,2,2018,1,28,Sunday,January,middle,second time
17//18,UEFA Champions League,last 16,2018-02-20,A,FC Barcelona,Chelsea FC,1:01,SS,75,1:01,Left-footed shot,Andres Iniesta,messi,False,False,1,1,1,2018,2,20,Tuesday,February,middle,second time
17//18,LaLiga,25,2018-02-24,H,FC Barcelona,Girona FC,6:01,SS,30,2:01,Left-footed shot,Luis Suarez,messi,False,False,2,1,6,2018,2,24,Saturday,February,middle,first half
17//18,LaLiga,25,2018-02-24,H,FC Barcelona,Girona FC,6:01,SS,36,3:01,Direct free kick,no assist,messi,False,False,3,1,6,2018,2,24,Saturday,February,middle,first half
17//18,LaLiga,26,2018-03-01,A,FC Barcelona,UD Las Palmas,1:01,SS,21,0:01,Direct free kick,no assist,messi,False,False,1,1,1,2018,3,1,Thursday,March,end,first half
17//18,LaLiga,27,2018-03-04,H,FC Barcelona,Atletico de Madrid,1:00,SS,26,1:00,Direct free kick,no assist,messi,False,False,1,0,1,2018,3,4,Sunday,March,end,first half
17//18,UEFA Champions League,last 16,2018-03-14,H,FC Barcelona,Chelsea FC,3:00,SS,3,1:00,Right-footed shot,Luis Suarez,messi,False,False,1,0,3,2018,3,14,Wednesday,March,end,first half
17//18,UEFA Champions League,last 16,2018-03-14,H,FC Barcelona,Chelsea FC,3:00,SS,63,3:00,Left-footed shot,Luis Suarez,messi,False,False,3,0,3,2018,3,14,Wednesday,March,end,second time
17//18,LaLiga,29,2018-03-18,H,FC Barcelona,Athletic Bilbao,2:00,SS,30,2:00,Left-footed shot,Ousmane Dembele,messi,False,False,2,0,2,2018,3,18,Sunday,March,end,first half
17//18,LaLiga,30,2018-03-31,A,FC Barcelona,Sevilla FC,2:02,RW,89,2:02,Left-footed shot,Philippe Coutinho,messi,False,False,2,2,2,2018,3,31,Saturday,March,end,second time
17//18,LaLiga,31,2018-04-07,H,FC Barcelona,CD Leganes,3:01,SS,27,1:00,Direct free kick,no assist,messi,False,False,1,1,3,2018,4,7,Saturday,April,end,first half
17//18,LaLiga,31,2018-04-07,H,FC Barcelona,CD Leganes,3:01,SS,32,2:00,Left-footed shot,Philippe Coutinho,messi,False,False,2,1,3,2018,4,7,Saturday,April,end,first half
17//18,LaLiga,31,2018-04-07,H,FC Barcelona,CD Leganes,3:01,SS,87,3:01,Left-footed shot,Ousmane Dembele,messi,False,False,3,1,3,2018,4,7,Saturday,April,end,second time
17//18,Copa del Rey,final,2018-04-21,A,FC Barcelona,Sevilla FC,0:05,SS,31,0:02,Left-footed shot,Jordi Alba,messi,False,False,2,0,5,2018,4,21,Saturday,April,end,first half
17//18,LaLiga,35,2018-04-29,A,FC Barcelona,Deportivo de La Coruaa,2:04,CF,38,0:02,Left-footed shot,Luis Suarez,messi,False,False,2,2,4,2018,4,29,Sunday,April,end,first half
17//18,LaLiga,35,2018-04-29,A,FC Barcelona,Deportivo de La Coruaa,2:04,CF,82,2:03,Right-footed shot,Luis Suarez,messi,False,False,3,2,4,2018,4,29,Sunday,April,end,second time
17//18,LaLiga,35,2018-04-29,A,FC Barcelona,Deportivo de La Coruaa,2:04,CF,85,2:04,Left-footed shot,Luis Suarez,messi,False,False,4,2,4,2018,4,29,Sunday,April,end,second time
17//18,LaLiga,36,2018-05-06,H,FC Barcelona,Real Madrid,2:02,SS,52,2:01,Left-footed shot,Luis Suarez,messi,False,False,2,2,2,2018,5,6,Sunday,May,end,second time
17//18,LaLiga,34,2018-05-09,H,FC Barcelona,Villarreal CF,5:01,CF,45,3:00,Left-footed shot,Andres Iniesta,messi,False,False,3,1,5,2018,5,9,Wednesday,May,end,first half
18//19,LaLiga,1,2018-08-18,H,FC Barcelona,Deportivo Alaves,3:00,RW,64,1:00,Direct free kick,no assist,messi,False,False,1,0,3,2018,8,18,Saturday,August,start,second time
18//19,LaLiga,1,2018-08-18,H,FC Barcelona,Deportivo Alaves,3:00,RW,90+2,3:00,Left-footed shot,Luis Suarez,messi,False,False,3,0,3,2018,8,18,Saturday,August,start,plus 90
18//19,LaLiga,3,2018-09-02,H,FC Barcelona,SD Huesca,8:02,RW,16,1:01,Right-footed shot,Ivan Rakitic,messi,False,False,1,2,8,2018,9,2,Sunday,September,start,first half
18//19,LaLiga,3,2018-09-02,H,FC Barcelona,SD Huesca,8:02,RW,61,6:02,Left-footed shot,Philippe Coutinho,messi,False,False,6,2,8,2018,9,2,Sunday,September,start,second time
18//19,UEFA Champions League,group stage,2018-09-18,H,FC Barcelona,PSV Eindhoven,4:00,RW,31,1:00,Direct free kick,no assist,messi,False,False,1,0,4,2018,9,18,Tuesday,September,start,first half
18//19,UEFA Champions League,group stage,2018-09-18,H,FC Barcelona,PSV Eindhoven,4:00,RW,77,3:00,Left-footed shot,Ivan Rakitic,messi,False,False,3,0,4,2018,9,18,Tuesday,September,start,second time
18//19,UEFA Champions League,group stage,2018-09-18,H,FC Barcelona,PSV Eindhoven,4:00,RW,87,4:00,Right-footed shot,Luis Suarez,messi,False,False,4,0,4,2018,9,18,Tuesday,September,start,second time
18//19,LaLiga,5,2018-09-23,H,FC Barcelona,Girona FC,2:02,RW,19,1:00,Left-footed shot,Arturo Vidal,messi,False,False,1,2,2,2018,9,23,Sunday,September,start,first half
18//19,UEFA Champions League,group stage,2018-10-03,A,FC Barcelona,Tottenham Hotspur,2:04,RW,56,1:03,Left-footed shot,Jordi Alba,messi,False,False,3,2,4,2018,10,3,Wednesday,October,start,second time
18//19,UEFA Champions League,group stage,2018-10-03,A,FC Barcelona,Tottenham Hotspur,2:04,RW,90,2:04,Left-footed shot,Jordi Alba,messi,False,False,4,2,4,2018,10,3,Wednesday,October,start,second time
18//19,LaLiga,8,2018-10-07,A,FC Barcelona,Valencia CF,1:01,RW,23,1:01,Left-footed shot,Luis Suarez,messi,False,False,1,1,1,2018,10,7,Sunday,October,start,first half
18//19,LaLiga,9,2018-10-20,H,FC Barcelona,Sevilla FC,4:02,RW,12,2:00,Left-footed shot,Luis Suarez,messi,False,False,2,2,4,2018,10,20,Saturday,October,start,first half
18//19,LaLiga,12,2018-11-11,H,FC Barcelona,Real Betis Balompie,3:04,SS,68,1:02,Penalty,no assist,messi,False,False,1,4,3,2018,11,11,Sunday,November,middle,second time
18//19,LaLiga,12,2018-11-11,H,FC Barcelona,Real Betis Balompie,3:04,SS,90+4,3:04,Left-footed shot,Arturo Vidal,messi,False,False,3,4,3,2018,11,11,Sunday,November,middle,plus 90
18//19,UEFA Champions League,group stage,2018-11-28,A,FC Barcelona,PSV Eindhoven,1:02,CF,61,0:01,Left-footed shot,Ousmane Dembele,messi,False,False,1,1,2,2018,11,28,Wednesday,November,middle,second time
18//19,LaLiga,15,2018-12-08,A,FC Barcelona,RCD Espanyol Barcelona,0:04,RW,17,0:01,Direct free kick,no assist,messi,False,False,1,0,4,2018,12,8,Saturday,December,middle,first half
18//19,LaLiga,15,2018-12-08,A,FC Barcelona,RCD Espanyol Barcelona,0:04,RW,65,0:04,Direct free kick,no assist,messi,False,False,4,0,4,2018,12,8,Saturday,December,middle,second time
18//19,LaLiga,16,2018-12-16,A,FC Barcelona,Levante UD,0:05,SS,43,0:02,Right-footed shot,Sergio Busquets,messi,False,False,2,0,5,2018,12,16,Sunday,December,middle,first half
18//19,LaLiga,16,2018-12-16,A,FC Barcelona,Levante UD,0:05,SS,47,0:03,Left-footed shot,Jordi Alba,messi,False,False,3,0,5,2018,12,16,Sunday,December,middle,second time
18//19,LaLiga,16,2018-12-16,A,FC Barcelona,Levante UD,0:05,SS,60,0:04,Left-footed shot,Arturo Vidal,messi,False,False,4,0,5,2018,12,16,Sunday,December,middle,second time
18//19,LaLiga,17,2018-12-22,H,FC Barcelona,Celta de Vigo,2:00,RW,45,2:00,Left-footed shot,Jordi Alba,messi,False,False,2,0,2,2018,12,22,Saturday,December,middle,first half
18//19,LaLiga,18,2019-01-06,A,FC Barcelona,Getafe CF,1:02,RW,20,0:01,Left-footed shot,Luis Suarez,messi,False,False,1,1,2,2019,1,6,Sunday,January,middle,first half
18//19,LaLiga,19,2019-01-13,H,FC Barcelona,SD Eibar,3:00,RW,53,2:00,Left-footed shot,Luis Suarez,messi,False,False,2,0,3,2019,1,13,Sunday,January,middle,second time
18//19,Copa del Rey,last 16,2019-01-17,H,FC Barcelona,Levante UD,3:00,CF,54,3:00,Left-footed shot,Nelson Semedo,messi,False,False,3,0,3,2019,1,17,Thursday,January,middle,second time
18//19,LaLiga,20,2019-01-20,H,FC Barcelona,CD Leganes,3:01,SS,90+2,3:01,Right-footed shot,Jordi Alba,messi,False,False,3,1,3,2019,1,20,Sunday,January,middle,plus 90
18//19,LaLiga,21,2019-01-27,A,FC Barcelona,Girona FC,0:02,RW,69,0:02,Left-footed shot,Jordi Alba,messi,False,False,2,0,2,2019,1,27,Sunday,January,middle,second time
18//19,Copa del Rey,quarter-finals,2019-01-30,H,FC Barcelona,Sevilla FC,6:01,RW,90+2,6:01,Left-footed shot,Jordi Alba,messi,False,False,6,1,6,2019,1,30,Wednesday,January,middle,plus 90
18//19,LaLiga,22,2019-02-02,H,FC Barcelona,Valencia CF,2:02,RW,39,1:02,Penalty,no assist,messi,False,False,1,2,2,2019,2,2,Saturday,February,middle,first half
18//19,LaLiga,22,2019-02-02,H,FC Barcelona,Valencia CF,2:02,RW,64,2:02,Left-footed shot,Arturo Vidal,messi,False,False,2,2,2,2019,2,2,Saturday,February,middle,second time
18//19,LaLiga,24,2019-02-16,H,FC Barcelona,Real Valladolid CF,1:00,RW,43,1:00,Penalty,no assist,messi,False,False,1,0,1,2019,2,16,Saturday,February,middle,first half
18//19,LaLiga,25,2019-02-23,A,FC Barcelona,Sevilla FC,2:04,RW,26,1:01,Left-footed shot,Ivan Rakitic,messi,False,False,1,2,4,2019,2,23,Saturday,February,middle,first half
18//19,LaLiga,25,2019-02-23,A,FC Barcelona,Sevilla FC,2:04,RW,67,2:02,Right-footed shot,Ousmane Dembele,messi,False,False,2,2,4,2019,2,23,Saturday,February,middle,second time
18//19,LaLiga,25,2019-02-23,A,FC Barcelona,Sevilla FC,2:04,RW,85,2:03,Left-footed shot,Sergio Busquets,messi,False,False,3,2,4,2019,2,23,Saturday,February,middle,second time
18//19,LaLiga,27,2019-03-09,H,FC Barcelona,Rayo Vallecano,3:01,RW,51,2:01,Penalty,no assist,messi,False,False,2,1,3,2019,3,9,Saturday,March,end,second time
18//19,UEFA Champions League,last 16,2019-03-13,H,FC Barcelona,Olympique Lyon,5:01,RW,18,1:00,Penalty,no assist,messi,False,False,1,1,5,2019,3,13,Wednesday,March,end,first half
18//19,UEFA Champions League,last 16,2019-03-13,H,FC Barcelona,Olympique Lyon,5:01,RW,78,3:01,Right-footed shot,Sergio Busquets,messi,False,False,3,1,5,2019,3,13,Wednesday,March,end,second time
18//19,LaLiga,28,2019-03-17,A,FC Barcelona,Real Betis Balompie,1:04,SS,18,0:01,Direct free kick,no assist,messi,False,False,1,1,4,2019,3,17,Sunday,March,end,first half
18//19,LaLiga,28,2019-03-17,A,FC Barcelona,Real Betis Balompie,1:04,SS,45+2,0:02,Left-footed shot,Luis Suarez,messi,False,False,2,1,4,2019,3,17,Sunday,March,end,first half
18//19,LaLiga,28,2019-03-17,A,FC Barcelona,Real Betis Balompie,1:04,SS,85,1:04,Left-footed shot,Ivan Rakitic,messi,False,False,4,1,4,2019,3,17,Sunday,March,end,second time
18//19,LaLiga,29,2019-03-30,H,FC Barcelona,RCD Espanyol Barcelona,2:00,RW,71,1:00,Direct free kick,no assist,messi,False,False,1,0,2,2019,3,30,Saturday,March,end,second time
18//19,LaLiga,29,2019-03-30,H,FC Barcelona,RCD Espanyol Barcelona,2:00,RW,89,2:00,Left-footed shot,Malcom,messi,False,False,2,0,2,2019,3,30,Saturday,March,end,second time
18//19,LaLiga,30,2019-04-02,A,FC Barcelona,Villarreal CF,4:04,RW,90,4:03,Direct free kick,no assist,messi,False,False,3,4,4,2019,4,2,Tuesday,April,end,second time
18//19,LaLiga,31,2019-04-06,H,FC Barcelona,Atletico de Madrid,2:00,SS,87,2:00,Left-footed shot,Arturo Vidal,messi,False,False,2,0,2,2019,4,6,Saturday,April,end,second time
18//19,UEFA Champions League,quarter-finals,2019-04-16,H,FC Barcelona,Manchester United,3:00,RW,16,1:00,Left-footed shot,Luis Suarez,messi,False,False,1,0,3,2019,4,16,Tuesday,April,end,first half
18//19,UEFA Champions League,quarter-finals,2019-04-16,H,FC Barcelona,Manchester United,3:00,RW,20,2:00,Right-footed shot,Luis Suarez,messi,False,False,2,0,3,2019,4,16,Tuesday,April,end,first half
18//19,LaLiga,35,2019-04-27,H,FC Barcelona,Levante UD,1:00,RW,62,1:00,Left-footed shot,Arturo Vidal,messi,False,False,1,0,1,2019,4,27,Saturday,April,end,second time
18//19,UEFA Champions League,semi-finals,2019-05-01,H,FC Barcelona,Liverpool FC,3:00,RW,75,2:00,Left-footed shot,Luis Suarez,messi,False,False,2,0,3,2019,5,1,Wednesday,May,end,second time
18//19,UEFA Champions League,semi-finals,2019-05-01,H,FC Barcelona,Liverpool FC,3:00,RW,82,3:00,Direct free kick,no assist,messi,False,False,3,0,3,2019,5,1,Wednesday,May,end,second time
18//19,LaLiga,38,2019-05-19,A,FC Barcelona,SD Eibar,2:02,CF,31,1:01,Left-footed shot,Arturo Vidal,messi,False,False,1,2,2,2019,5,19,Sunday,May,end,first half
18//19,LaLiga,38,2019-05-19,A,FC Barcelona,SD Eibar,2:02,CF,32,1:02,Left-footed shot,Ivan Rakitic,messi,False,False,2,2,2,2019,5,19,Sunday,May,end,first half
18//19,Copa del Rey,final,2019-05-25,H,FC Barcelona,Valencia CF,1:02,CF,73,1:02,Left-footed shot,Clement Lenglet,messi,False,False,1,2,1,2019,5,25,Saturday,May,end,second time
19//20,LaLiga,8,2019-10-06,H,FC Barcelona,Sevilla FC,4:00,RW,78,4:00,Direct free kick,no assist,messi,False,False,4,0,4,2019,10,6,Sunday,October,start,second time
19//20,LaLiga,9,2019-10-19,A,FC Barcelona,SD Eibar,0:03,RW,58,0:02,Left-footed shot,Antoine Griezmann,messi,False,False,2,0,3,2019,10,19,Saturday,October,start,second time
19//20,UEFA Champions League,group stage,2019-10-23,A,FC Barcelona,SK Slavia Prague,1:02,RW,3,0:01,Left-footed shot,Arthur,messi,False,False,1,1,2,2019,10,23,Wednesday,October,start,first half
